System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
DEC PDP-11/20 EAE,P7,NA,0.0188,NA,NA,0.0054,For,NA,9,1970
DEC PDP-11/34 FP,P7,NA,0.204,NA,NA,0.157,For,NA,45,1976
DEC PDP-11/34 NoF,P7,NA,0.0057,NA,NA,NA,Bas,NA,NA,1976
DEC PDP-11/34 NoF,P7,NA,0.029,NA,NA,0.0069,For,NA,NA,1976
DEC PDP-11/40 EF,P7,NA,0.0655,NA,NA,0.0073,For,NA,NA,1973
DEC PDP-11/45 FPP,P7,NA,0.189,NA,NA,0.075,For,NA,15,1972
DEC PDP-11/55 FP,P7,NA,0.714,NA,NA,0.552,For,NA,61,1977
DEC PDP-11/60 FPP,P7,NA,0.118,NA,NA,0.039,For,NA,NA,1977
DEC PDP-11/60 FP,P7,NA,0.591,NA,NA,0.435,For,NA,NA,1977
DEC PDP-11/70 FP,P7,NA,0.532,NA,NA,0.415,For,NA,77,1975
DEC PDP-12 FPP,P7,NA,0.0345,NA,NA,NA,For,NA,NA,1969
DEC VAX 11/780 FPA,P8,5,0.494,NA,NA,NA,Pas,NA,145,1977
DEC VAX 11/780 FPA,P8,5,1.18,NA,NA,0.760,For,Opt,145,1977
DEC VAX 11/780 FPA,P8,5,1.02,0.25,1.00,NA,For,No,145,1977
DEC VAX 11/780 NoF,P8,5,0.740,NA,NA,0.253,For,Opt,145,1977
DEC VAX 11/730,P8,1.23,0.254,NA,NA,0.156,For,Opt,21,1982
DEC VAX 11/750,P8,NA,0.680,0.20,0.63,0.510,For,Opt,47,1980
DEC VAX 11/785,P8,7.41,1.65,0.46,1.73,1.07,For,Opt,195,1984
DEC MicroVAX I,P8,1.23,0.248,NA,NA,0.108,For,Opt,14,1983
DEC MicroVAX II,P8,NA,0.925,NA,NA,0.681,For,Opt,20,1985
DEC MicroVAX 2000,P8,NA,0.800,0.18,0.97,0.560,For,Opt,15,1987
